id,city,address,latitude,longitude,type
1,თბილისი,"მტკვრის მარჯვენა სანაპირო, გოთუას ქ. მ/ტ.",41.6824391215882,44.8250261134364,Own
2,თბილისი,დ. აღმაშენებლის ხეივანი  228.,41.7993979326802,44.7699983916750,Own
3,თბილისი,"მტკვრის მარცხენა სანაპირო, ელიავას ბაზრობის მ/ტ.",41.7358540603101,44.7739472622826,Own
4,თბილისი,დ. აღმაშენებლის ხეივნი 1.,41.7626672564162,44.7689573455266,Own
5,თბილისი,კახეთის გზატკ. ორხევის ხიდთან,41.6895093475834,44.9152116691006,Own
6,თბილისი,კოსტავას 69 - ლაგუნა.,41.6823067616058,44.8249991433974,Own
7,თბილისი,მარცხენა სანაპირო ბაგრატიონის ხიდის მ/ტ.,41.7255717899599,44.7837978691943,Own
8,თბილისი,თამარაშვილის ქ.10გ.,41.7232153582136,44.7456761751463,Own
9,თბილისი,გელოვანის გამზ. მეღვინეობ-მევენახეობის ინსტ. მ/ტ.,41.7503310797844,44.7700128016467,Own
10,თბილისი,შეშელიძის 24.,41.7863224556204,44.8008180062033,Own
11,თბილისი,გურამიშვილის გამზ. ცისარტყელას მ/ტ.,41.7667439163066,44.7908557798341,Own
12,თბილისი,წერეთლის გამზ. 148,41.7510686209708,44.7774404147041,Own
13,თბილისი,წერეთლის გამზ. 145,41.7508109344080,44.7777893630602,Own
14,თბილისი,კახეთის გზატკეცილი აეროპორტის გზაზე.,41.6838015847413,44.8814419145330,Own
15,თბილისი,ორთაჭალჰესი 72-ე სკოლის მ/ტ.,41.6823026576398,44.8249784726311,Own
16,თბილისი,ა. წურწუმიას ქ. 4ბ.,41.6922310342123,44.8197933954542,Own
17,თბილისი,ჯავახეთის ქ. 17ა,41.6884376108735,44.8707821989419,Own
18,თბილისი,აღმაშენებლის ხეივანი 169,41.7983979970197,44.7711989057792,Own
19,რუსთავი,რუსთავის გზატკეცილი მე-20-ე კმ.,41.5763594678524,44.9558340316697,Own
20,ბათუმი,შავშეთის ქ. 25ა.,41.6415006232484,41.6516337126284,Own
21,ბათუმი,გოგოლის ქ.,41.6440909743115,41.6672524763233,Own
22,ბათუმი,სოფ. ანგისა.,41.6311136167761,41.6129829792392,Own
23,საჩხერე,"სოფელი ჩიხა, თამარ მეფის ქ. 19.",42.3320433475564,43.43143877679050,Own
24,ზესტაფონი,ვ.სტაროსელსკის ქ. 45,42.1211620489571,43.0083576337818,Own
25,ჭიათურა,მღვიმევის ქ. 4 ბ.,42.2950528124502,43.2975293638901,Own
26,ამბროლაური,ვაჟა-ფშაველას ქ. 9.,42.5265092921994,43.1501294381351,Own
27,ხაშური,სტალინის ქ. 145,41.9861226245776,43.5942799816665,Own
28,ბაკურიანი,ბორჯომის ქ.,41.7564657332294,43.5271770582771,Own
29,გორი,ცხინვალის გზატკეცილი 2.,41.9972073130429,44.1116907211841,Own
30,ფოთი,რუსთაველის რკალი,42.1404533839885,41.6731610469454,Own
31,ონი,ვახტანგ VI ქ.,42.5853482020472,43.4434843479132,Own
32,ზესტაფონი,აღმაშენებლის ქ. 10,42.1102943004819,43.0238048540766,Own
33,ქობულეთი,მ. აბაშიძის ქ. 14,41.8068882060937,41.7778338594943,Own
34,ნინოწმინდა,თავისუფლების ქ. 1.,41.2638866828908,43.5969218831306,Own
35,ხონი,ჭანტურიას ქ. 153,42.3088752621005,42.4398198303331,Own
36,ახალქალაქი,აღმაშენებლის ქ. 2,41.3970335184020,43.4886390156304,Own
37,ქუთაისი,ლ.ასათიანის ქ. 98,42.2496683046452,42.6911930189991,Own
38,კასპის რ-ნი,სოფელი ოკამი,41.9493914939863,44.4991131898556,Own
39,მცხეთის რ-ნი,სოფ. მისაქციელი,41.9310221822915,44.7330937155314,Own
40,ქუთაისი,სულხან-საბა,42.2439049950426,42.6680112476619,Own
41,ტყიბული,ტყვარჩელის ქ. 27,42.3312247712099,42.9722228269057,Own
42,ზუგდიდი,აღმაშენებლის ქ. 185,42.4883580820069,41.8535809458470,Own
43,ზუგდიდი,გია გულუას ქ. 26,42.4883594089795,41.8535823485758,Own
44,ოზურგეთი,კოსტავას ქ. 92.,41.9316838231017,41.9883291656222,Franchise
45,ახალციხე,აბასთუმნის გზატკეცილი,41.6415303190807,42.9801259568004,Franchise
46,მარტვილი,მშვიდობის ქ. 115,42.4031933934165,42.3666122610178,Franchise
47,თელავი,აღმაშენებლის პროსპექტი 62ა,41.9253797787023,45.4687983738227,Own
48,ბათუმი,სოფ. გონიო,41.5540550279790,41.5651856175597,Franchise
49,ბათუმი,ბაქოს ქ.,41.6494936751923,41.6641171352399,Franchise
50,მარნეული,26 მაისის ქ.,41.4868602241804,44.7982565431873,Franchise
51,თბილისი,ვაზისუბნის დასახლება 25,41.6992789539504,44.8527201034304,Franchise
52,მარნეული,26 მაისის ქ.,41.4868324593325,44.7982555404123,Franchise
53,ადიგენის რ-ნი,"სოფ. არალი, ვალეს საბაჯო პუნქტთან ახლოს",41.5935549167780,42.8244218666155,Franchise
54,ადიგენის რ-ნი,სოფ. არალი,41.6471025313074,42.8402506564727,Franchise
55,თბილისი,გურამიშვილის პროსპექტი 8,41.7532760772244,44.7888756212135,Franchise
56,თბილისი,ურიდიისა და ხუდადოვის ქუჩების კვეთა,41.7294989867572,44.8270942327705,Franchise
57,რუსთავი,რუსთავის გზატკეცილი მე-22-ე კმ.,41.5749267438178,44.9577291149776,Franchise
